ID,Name,Experiment,NewCat,CodeCat,Test.Period,Condition,mean10s,HR_Increase,Walking_10
2,Blue,Control,High,1,1,control,34.31126,NA,0
3,Bonnie,Control,High,1,1,control,45.37444286,NA,0
4,Boysie,Control,Low,0,1,control,46.60282125,NA,0
5,Chase,Control,Low,0,1,control,41.936892,NA,0
6,Dax,Control,Low,0,1,control,38.95333286,NA,0
7,Dolly,Control,High,1,1,control,44.32207571,NA,2
8,Dougal,Control,High,1,1,control,44.45927429,NA,0
10,Duke,Control,High,1,1,control,67.88285667,NA,0
11,Hugo,Control,High,1,1,control,35.53570833,NA,0
12,Jamaima,Control,Low,0,1,control,42.59807143,NA,0
13,Joey,Control,High,1,1,control,45.27484286,NA,0
14,Livvie,Control,Low,0,1,control,52.22773125,NA,0
15,Lock,Control,Low,0,1,control,34.482726,NA,0
16,Lucy,Control,Low,0,1,control,28.799385,NA,0
17,Prince,Control,High,1,1,control,47.51199571,NA,0
18,Rio,Control,Low,0,1,control,36.64348,NA,0
19,Sandie,Control,High,1,1,control,35.58017333,NA,0
20,Tudor,Control,Low,0,1,control,40.20937286,NA,0
2,Blue,Novel_Object,High,1,1,dropObj,41.86946,17.398,0
2,Blue,Novel_Object,High,1,1,presentationObj,56.00644444,41.25,5
2,Blue,Novel_Object,High,1,1,removeObj,54.39795111,15.39,1
3,Bonnie,Novel_Object,High,1,1,dropObj,58.66661286,20.542,0
3,Bonnie,Novel_Object,High,1,1,presentationObj,58.12918143,32.369,2
3,Bonnie,Novel_Object,High,1,1,removeObj,48.41311375,5.622,2
4,Boysie,Novel_Object,Low,0,1,presentationObj,45.39252286,3.142,0
4,Boysie,Novel_Object,Low,0,1,removeObj,43.68499286,-1.325,0
5,Chase,Novel_Object,Low,0,1,dropObj,48.2470225,7.247,4
5,Chase,Novel_Object,Low,0,1,removeObj,45.3942475,8.839,0
6,Dax,Novel_Object,Low,0,1,dropObj,38.30072167,2.672,0
6,Dax,Novel_Object,Low,0,1,presentationObj,50.79755714,22.715,7
6,Dax,Novel_Object,Low,0,1,removeObj,41.71239,-1.916,0
7,Dolly,Novel_Object,High,1,1,dropObj,70.16971889,43.15,1
7,Dolly,Novel_Object,High,1,1,presentationObj,67.76089444,32.386,1
7,Dolly,Novel_Object,High,1,1,removeObj,45.50984143,-0.165,4
8,Dougal,Novel_Object,High,1,1,dropObj,65.881469,6.728,0
8,Dougal,Novel_Object,High,1,1,presentationObj,54.18911778,37.013,0
8,Dougal,Novel_Object,High,1,1,removeObj,92.613811,-2.66,0
10,Duke,Novel_Object,High,1,1,dropObj,52.27763111,-1.305,1
10,Duke,Novel_Object,High,1,1,presentationObj,58.26223375,-1.09,5
10,Duke,Novel_Object,High,1,1,removeObj,52.76866667,7.198,3
11,Hugo,Novel_Object,High,1,1,dropObj,99.80632,58.99,3
11,Hugo,Novel_Object,High,1,1,presentationObj,55.65404167,68.424,6
11,Hugo,Novel_Object,High,1,1,removeObj,83.287419,28.666,4
12,Jamaima,Novel_Object,Low,0,1,dropObj,44.13325,4.18,0
12,Jamaima,Novel_Object,Low,0,1,presentationObj,42.85156143,2.862,3
12,Jamaima,Novel_Object,Low,0,1,removeObj,41.53553857,5.041,0
13,Joey,Novel_Object,High,1,1,dropObj,83.95284444,88.435,2
13,Joey,Novel_Object,High,1,1,presentationObj,45.87764125,6.955,0
13,Joey,Novel_Object,High,1,1,removeObj,57.119727,9.071,0
14,Livvie,Novel_Object,Low,0,1,dropObj,45.72277,-2.58,0
14,Livvie,Novel_Object,Low,0,1,presentationObj,45.6715125,4.381,0
15,Lock,Novel_Object,Low,0,1,dropObj,52.03780778,24.523,1
15,Lock,Novel_Object,Low,0,1,presentationObj,41.05992571,8.977,0
15,Lock,Novel_Object,Low,0,1,removeObj,38.01880714,10.047,0
16,Lucy,Novel_Object,Low,0,1,dropObj,29.460706,-4.552,1
16,Lucy,Novel_Object,Low,0,1,presentationObj,53.54115125,39.495,4
17,Prince,Novel_Object,High,1,1,dropObj,76.044806,40.025,1
17,Prince,Novel_Object,High,1,1,presentationObj,56.75184778,30.698,0
17,Prince,Novel_Object,High,1,1,removeObj,75.37562556,44.11,7
18,Rio,Novel_Object,Low,0,1,dropObj,32.70629,6.818,0
18,Rio,Novel_Object,Low,0,1,presentationObj,38.07287667,5.275,3
18,Rio,Novel_Object,Low,0,1,removeObj,36.58985,2.964,0
19,Sandie,Novel_Object,High,1,1,presentationObj,40.2535,18.48,0
20,Tudor,Novel_Object,Low,0,1,dropObj,35.29311667,3.749,0
20,Tudor,Novel_Object,Low,0,1,presentationObj,41.67068286,19.69,3
20,Tudor,Novel_Object,Low,0,1,removeObj,53.14892,23.138,2
1,Beets,Pre_Feeding,Low,0,1,before,54.90162988,NA,0
1,Beets,Pre_Feeding,Low,0,1,foodPresentation,40.74102563,-3.383,2
2,Blue,Pre_Feeding,Low,0,1,before,56.36907217,NA,0
2,Blue,Pre_Feeding,Low,0,1,foodPresentation,78.17302069,28.412,1
4,Boysie,Pre_Feeding,High,1,1,before,39.47970584,NA,0
4,Boysie,Pre_Feeding,High,1,1,foodPresentation,43.21975715,15.347,0
5,Chase,Pre_Feeding,Low,0,1,before,41.64965,NA,0
5,Chase,Pre_Feeding,Low,0,1,foodPresentation,58.370354,25.82,0
6,Dax,Pre_Feeding,High,1,1,before,40.277382,NA,0
6,Dax,Pre_Feeding,High,1,1,foodPresentation,37.944895,1.979,0
7,Dolly,Pre_Feeding,High,1,1,before,45.35693429,NA,0
7,Dolly,Pre_Feeding,High,1,1,foodPresentation,50.77213143,13.828,0
8,Dougal,Pre_Feeding,High,1,1,before,73.281125,NA,0
8,Dougal,Pre_Feeding,High,1,1,foodPresentation,63.979016,2.347,0
9,Dougie,Pre_Feeding,Low,0,1,before,51.79457875,NA,0
9,Dougie,Pre_Feeding,Low,0,1,foodPresentation,58.605562,5.657,4
11,Hugo,Pre_Feeding,High,1,1,before,65.996605,NA,0
11,Hugo,Pre_Feeding,High,1,1,foodPresentation,54.26710375,-0.814,0
12,Jamaima,Pre_Feeding,Low,0,1,before,60.02065778,NA,0
12,Jamaima,Pre_Feeding,Low,0,1,foodPresentation,61.679259,12.295,0
14,Livvie,Pre_Feeding,High,1,1,before,55.68013667,NA,0
14,Livvie,Pre_Feeding,High,1,1,foodPresentation,66.061181,9.757,0
15,Lock,Pre_Feeding,Low,0,1,before,42.70179653,NA,0
15,Lock,Pre_Feeding,Low,0,1,foodPresentation,39.893685,-0.871,0
16,Lucy,Pre_Feeding,High,1,1,before,45.60015,NA,0
16,Lucy,Pre_Feeding,High,1,1,foodPresentation,39.16532333,4.009,0
17,Prince,Pre_Feeding,Low,0,1,before,43.28939333,NA,0
17,Prince,Pre_Feeding,Low,0,1,foodPresentation,64.13340778,8.52,0
18,Rio,Pre_Feeding,High,1,1,before,62.446025,NA,0
18,Rio,Pre_Feeding,High,1,1,foodPresentation,41.33008857,4.676,0
19,Sandie,Pre_Feeding,High,1,1,before,39.92322167,NA,0
19,Sandie,Pre_Feeding,High,1,1,foodPresentation,59.90922429,58.237,0
20,Tudor,Pre_Feeding,Low,0,1,before,48.22635625,NA,0
20,Tudor,Pre_Feeding,Low,0,1,foodPresentation,61.18159111,29.677,0
2,Blue,Control,High,1,2,control,44.10421339,NA,0
3,Bonnie,Control,Low,0,2,control,44.29144571,NA,0
4,Boysie,Control,Low,0,2,control,37.72897333,NA,0
5,Chase,Control,Low,0,2,control,46.59363857,NA,0
6,Dax,Control,Low,0,2,control,42.26413857,NA,0
7,Dolly,Control,Low,0,2,control,41.62755857,NA,0
8,Dougal,Control,Low,0,2,control,46.35006875,NA,0
10,Duke,Control,Low,0,2,control,27.6520825,NA,0
11,Hugo,Control,High,1,2,control,28.10183,NA,0
12,Jamaima,Control,Low,0,2,control,43.23204857,NA,0
13,Joey,Control,High,1,2,control,32.6327,NA,0
14,Livvie,Control,Low,0,2,control,44.30310667,NA,0
15,Lock,Control,Low,0,2,control,32.66455,NA,0
16,Lucy,Control,High,1,2,control,43.91858143,NA,0
17,Prince,Control,Low,0,2,control,30.49124,NA,2
18,Rio,Control,Low,0,2,control,41.53104286,NA,0
19,Sandie,Control,Low,0,2,control,37.57008,NA,0
20,Tudor,Control,Low,0,2,control,38.85898571,NA,0
2,Blue,Novel_Object,High,1,2,dropObj,53.644065,-12.377,1
2,Blue,Novel_Object,High,1,2,presentationObj,49.82031875,19.799,0
3,Bonnie,Novel_Object,Low,0,2,dropObj,41.196205,2.859,0
3,Bonnie,Novel_Object,Low,0,2,presentationObj,48.63147857,5.659,2
3,Bonnie,Novel_Object,Low,0,2,removeObj,45.100985,1.452,0
4,Boysie,Novel_Object,Low,0,2,dropObj,38.36610333,0.8,0
4,Boysie,Novel_Object,Low,0,2,presentationObj,38.39908667,2.039,0
4,Boysie,Novel_Object,Low,0,2,removeObj,38.331765,0.294,0
5,Chase,Novel_Object,Low,0,2,dropObj,50.25586333,6.353,5
5,Chase,Novel_Object,Low,0,2,presentationObj,57.660275,11.457,0
5,Chase,Novel_Object,Low,0,2,removeObj,52.81389444,10.52,0
6,Dax,Novel_Object,Low,0,2,dropObj,49.39464143,43.251,0
6,Dax,Novel_Object,Low,0,2,presentationObj,53.04727889,9.843,2
6,Dax,Novel_Object,Low,0,2,removeObj,28.273414,0.044,1
7,Dolly,Novel_Object,Low,0,2,dropObj,44.30890625,1.383,0
7,Dolly,Novel_Object,Low,0,2,presentationObj,43.12867429,1.829,4
7,Dolly,Novel_Object,Low,0,2,removeObj,41.88535,1.114,0
8,Dougal,Novel_Object,Low,0,2,dropObj,43.20267,12.305,0
8,Dougal,Novel_Object,Low,0,2,presentationObj,43.13267286,3.626,0
8,Dougal,Novel_Object,Low,0,2,removeObj,46.74647625,4.616,0
10,Duke,Novel_Object,Low,0,2,dropObj,41.70581,23.434,2
10,Duke,Novel_Object,Low,0,2,presentationObj,31.59667333,26.561,3
10,Duke,Novel_Object,Low,0,2,removeObj,45.44172,22.798,2
11,Hugo,Novel_Object,High,1,2,dropObj,97.70136222,82.862,1
11,Hugo,Novel_Object,High,1,2,presentationObj,36.1136,88.997,3
11,Hugo,Novel_Object,High,1,2,removeObj,90.481833,41.914,0
12,Jamaima,Novel_Object,Low,0,2,dropObj,36.583825,8.117,3
12,Jamaima,Novel_Object,Low,0,2,presentationObj,46.48926429,20.558,1
13,Joey,Novel_Object,High,1,2,dropObj,87.321275,78.78,4
13,Joey,Novel_Object,High,1,2,presentationObj,32.30548333,9.962,0
13,Joey,Novel_Object,High,1,2,removeObj,43.445194,13.274,4
14,Livvie,Novel_Object,Low,0,2,dropObj,48.94149625,15.392,1
14,Livvie,Novel_Object,Low,0,2,presentationObj,45.19058714,5.999,1
14,Livvie,Novel_Object,Low,0,2,removeObj,47.41555875,13.502,2
15,Lock,Novel_Object,Low,0,2,dropObj,34.72350333,6.128,0
15,Lock,Novel_Object,Low,0,2,presentationObj,32.471048,2.406,0
15,Lock,Novel_Object,Low,0,2,removeObj,42.14586857,7.758,0
16,Lucy,Novel_Object,High,1,2,dropObj,68.690214,15.982,3
16,Lucy,Novel_Object,High,1,2,presentationObj,71.28666667,71.7,2
16,Lucy,Novel_Object,High,1,2,removeObj,60.6227,42.235,2
17,Prince,Novel_Object,Low,0,2,dropObj,59.81672222,30.193,0
17,Prince,Novel_Object,Low,0,2,presentationObj,60.877968,31.511,1
17,Prince,Novel_Object,Low,0,2,removeObj,65.424583,36.734,0
18,Rio,Novel_Object,Low,0,2,dropObj,30.863408,3.77,0
18,Rio,Novel_Object,Low,0,2,presentationObj,31.12805,10.072,0
18,Rio,Novel_Object,Low,0,2,removeObj,32.15053167,13.923,0
19,Sandie,Novel_Object,Low,0,2,dropObj,41.37248571,12.837,5
19,Sandie,Novel_Object,Low,0,2,presentationObj,48.41876,38.197,0
19,Sandie,Novel_Object,Low,0,2,removeObj,35.98851,15.279,3
20,Tudor,Novel_Object,Low,0,2,dropObj,35.404895,0.684,0
20,Tudor,Novel_Object,Low,0,2,presentationObj,42.415312,13.696,2
20,Tudor,Novel_Object,Low,0,2,removeObj,38.72403167,0.785,0
1,Beets,Pre_Feeding,High,1,2,before,55.04571667,NA,3
1,Beets,Pre_Feeding,High,1,2,foodPresentation,60.282885,26.904,0
2,Blue,Pre_Feeding,Low,0,2,before,47.94942956,NA,0
2,Blue,Pre_Feeding,Low,0,2,foodPresentation,61.81084143,13.198,1
4,Boysie,Pre_Feeding,Low,0,2,before,31.66135,NA,0
4,Boysie,Pre_Feeding,Low,0,2,foodPresentation,35.719766,17.336,0
5,Chase,Pre_Feeding,Low,0,2,before,39.84039286,NA,0
5,Chase,Pre_Feeding,Low,0,2,foodPresentation,63.419022,13.142,0
6,Dax,Pre_Feeding,High,1,2,before,45.34095714,NA,0
6,Dax,Pre_Feeding,High,1,2,foodPresentation,33.66344167,-1.29,0
7,Dolly,Pre_Feeding,High,1,2,before,72.46916667,NA,2
7,Dolly,Pre_Feeding,High,1,2,foodPresentation,59.05475667,-11.98,0
8,Dougal,Pre_Feeding,Low,0,2,before,39.07799833,NA,0
8,Dougal,Pre_Feeding,Low,0,2,foodPresentation,62.913112,30.295,0
9,Dougie,Pre_Feeding,Low,0,2,before,50.8287125,NA,0
9,Dougie,Pre_Feeding,Low,0,2,foodPresentation,50.65052889,6.344,0
11,Hugo,Pre_Feeding,High,1,2,before,41.53855286,NA,0
11,Hugo,Pre_Feeding,High,1,2,foodPresentation,50.78565111,7.867,0
12,Jamaima,Pre_Feeding,Low,0,2,before,35.07941833,NA,0
12,Jamaima,Pre_Feeding,Low,0,2,foodPresentation,56.225072,33.103,0
14,Livvie,Pre_Feeding,Low,0,2,before,43.73870857,NA,0
14,Livvie,Pre_Feeding,Low,0,2,foodPresentation,48.2089425,9.866,0
15,Lock,Pre_Feeding,Low,0,2,before,33.535372,NA,0
15,Lock,Pre_Feeding,Low,0,2,foodPresentation,33.64537667,3.419,0
16,Lucy,Pre_Feeding,Low,0,2,before,38.72724667,NA,0
16,Lucy,Pre_Feeding,Low,0,2,foodPresentation,49.00299333,23.509,0
17,Prince,Pre_Feeding,Low,0,2,before,36.76923,NA,0
17,Prince,Pre_Feeding,Low,0,2,foodPresentation,37.11984333,9.131,2
18,Rio,Pre_Feeding,High,1,2,before,36.41967833,NA,0
18,Rio,Pre_Feeding,High,1,2,foodPresentation,39.34948857,7.927,0
19,Sandie,Pre_Feeding,Low,0,2,before,38.578665,NA,0
19,Sandie,Pre_Feeding,Low,0,2,foodPresentation,38.84146857,3.762,0
20,Tudor,Pre_Feeding,High,1,2,before,35.88188667,NA,0
20,Tudor,Pre_Feeding,High,1,2,foodPresentation,39.39632,4.872,0